iter	Passed	Remaining
0	171	85459
1	175	43592
2	178	29602
3	182	22581
4	186	18505
5	190	15694
6	194	13695
7	198	12216
8	203	11103
9	208	10224
10	212	9451
11	215	8767
12	218	8201
13	221	7705
14	225	7300
15	229	6931
16	231	6589
17	235	6295
18	238	6044
19	241	5807
20	244	5584
21	247	5372
22	251	5208
23	254	5054
24	257	4893
25	260	4741
26	262	4599
27	264	4463
28	268	4365
29	271	4254
30	274	4145
31	276	4036
32	278	3936
33	280	3841
34	283	3771
35	287	3708
36	290	3639
37	293	3565
38	295	3492
39	298	3433
40	301	3377
41	303	3313
42	305	3250
43	308	3192
44	310	3137
45	312	3083
46	315	3043
47	318	2996
48	320	2953
49	323	2908
50	325	2864
51	327	2821
52	330	2787
53	333	2753
54	335	2714
55	337	2677
56	340	2644
57	342	2607
58	344	2573
59	347	2548
60	349	2517
61	351	2486
62	354	2456
63	356	2429
64	358	2401
65	361	2378
66	364	2355
67	367	2334
68	370	2311
69	373	2292
70	375	2271
71	378	2252
72	381	2233
73	385	2216
74	387	2196
75	390	2176
76	394	2165
77	398	2153
78	400	2135
79	403	2115
80	405	2100
81	409	2085
82	412	2073
83	415	2057
84	418	2043
85	421	2028
86	424	2016
87	427	2002
88	430	1986
89	432	1971
90	435	1958
91	439	1947
92	443	1941
93	446	1929
94	450	1918
95	454	1911
96	458	1903
97	461	1891
98	464	1882
99	467	1870
100	470	1857
101	472	1845
102	476	1838
103	480	1829
104	483	1819
105	486	1808
106	490	1799
107	493	1792
108	497	1783
109	500	1772
110	502	1762
111	505	1752
112	509	1743
113	511	1732
114	514	1722
115	516	1711
116	519	1700
117	522	1692
118	525	1683
119	528	1673
120	531	1664
121	533	1654
122	536	1644
123	539	1637
124	542	1627
125	545	1618
126	547	1608
127	550	1598
128	552	1589
129	556	1583
130	558	1573
131	560	1563
132	563	1553
133	565	1544
134	567	1534
135	571	1529
136	574	1522
137	576	1513
138	579	1504
139	581	1496
140	584	1487
141	588	1482
142	591	1475
143	594	1469
144	596	1460
145	598	1452
146	600	1443
147	603	1436
148	606	1428
149	608	1419
150	610	1411
151	612	1402
152	614	1394
153	616	1386
154	619	1379
155	621	1371
156	623	1362
157	625	1354
158	628	1347
159	630	1339
160	632	1331
161	635	1326
162	637	1318
163	639	1310
164	641	1303
165	644	1296
166	646	1288
167	648	1281
168	651	1276
169	653	1269
170	655	1262
171	658	1255
172	660	1248
173	662	1241
174	665	1235
175	668	1229
176	670	1223
177	673	1217
178	675	1210
179	677	1204
180	679	1197
181	682	1192
182	685	1187
183	688	1182
184	691	1176
185	693	1171
186	696	1165
187	699	1160
188	701	1155
189	704	1148
190	706	1142
191	708	1135
192	710	1130
193	713	1125
194	717	1121
195	720	1116
196	722	1110
197	724	1104
198	726	1099
199	728	1093
200	732	1089
201	735	1084
202	737	1078
203	740	1073
204	742	1068
205	744	1062
206	747	1057
207	750	1053
208	752	1048
209	755	1043
210	757	1037
211	759	1032
212	762	1027
213	765	1022
214	767	1018
215	770	1013
216	773	1008
217	775	1003
218	779	1000
219	783	996
220	785	991
221	787	986
222	790	981
223	792	976
224	796	973
225	799	969
226	802	965
227	805	961
228	808	956
229	812	953
230	816	950
231	819	946
232	822	942
233	826	939
234	831	937
235	834	933
236	839	931
237	843	928
238	846	924
239	849	920
240	853	917
241	856	913
242	860	910
243	863	906
244	866	901
245	869	898
246	873	894
247	877	891
248	880	887
249	883	883
250	887	880
251	890	876
252	894	872
253	897	869
254	900	864
255	904	862
256	908	858
257	911	854
258	914	850
259	917	846
260	922	845
261	926	841
262	929	837
263	932	833
264	934	828
265	938	825
266	941	821
267	943	817
268	946	812
269	948	807
270	950	802
271	952	798
272	955	794
273	959	791
274	963	788
275	967	785
276	971	781
277	973	777
278	977	773
279	980	770
280	983	766
281	986	762
282	989	758
283	992	754
284	995	750
285	999	747
286	1002	744
287	1005	740
288	1009	737
289	1014	734
290	1017	731
291	1021	727
292	1025	724
293	1030	722
294	1034	718
295	1038	715
296	1041	712
297	1046	709
298	1050	706
299	1055	703
300	1060	701
301	1064	698
302	1068	694
303	1074	692
304	1079	690
305	1083	687
306	1088	684
307	1093	681
308	1096	678
309	1100	674
310	1103	670
311	1108	667
312	1113	665
313	1116	661
314	1119	657
315	1124	654
316	1128	651
317	1132	647
318	1138	645
319	1143	643
320	1149	640
321	1163	643
322	1171	642
323	1178	639
324	1183	637
325	1191	635
326	1199	634
327	1220	640
328	1225	637
329	1231	634
330	1254	640
331	1260	637
332	1263	633
333	1267	629
334	1271	626
335	1274	622
336	1277	618
337	1282	614
338	1288	612
339	1296	610
340	1304	608
341	1311	605
342	1314	601
343	1319	598
344	1322	594
345	1326	590
346	1330	586
347	1334	583
348	1338	578
349	1341	574
350	1344	570
351	1349	567
352	1353	563
353	1357	559
354	1361	556
355	1366	552
356	1369	548
357	1372	544
358	1376	540
359	1380	536
360	1384	533
361	1388	529
362	1391	525
363	1393	520
364	1397	516
365	1400	512
366	1402	508
367	1404	503
368	1407	499
369	1409	495
370	1412	491
371	1414	486
372	1416	482
373	1419	478
374	1421	473
375	1423	469
376	1425	465
377	1428	461
378	1431	457
379	1433	452
380	1435	448
381	1437	444
382	1439	439
383	1441	435
384	1445	431
385	1447	427
386	1449	423
387	1451	419
388	1453	414
389	1455	410
390	1457	406
391	1461	402
392	1463	398
393	1465	394
394	1466	389
395	1468	385
396	1470	381
397	1472	377
398	1474	373
399	1477	369
400	1480	365
401	1482	361
402	1484	357
403	1486	353
404	1488	349
405	1490	345
406	1494	341
407	1497	337
408	1499	333
409	1501	329
410	1504	325
411	1507	322
412	1511	318
413	1514	314
414	1517	310
415	1522	307
416	1525	303
417	1529	299
418	1531	296
419	1536	292
420	1540	289
421	1543	285
422	1546	281
423	1549	277
424	1553	274
425	1558	270
426	1561	266
427	1563	263
428	1565	259
429	1568	255
430	1572	251
431	1575	247
432	1577	244
433	1580	240
434	1582	236
435	1584	232
436	1588	229
437	1591	225
438	1594	221
439	1596	217
440	1599	213
441	1601	210
442	1604	206
443	1607	202
444	1609	198
445	1612	195
446	1614	191
447	1616	187
448	1620	184
449	1623	180
450	1626	176
451	1629	173
452	1631	169
453	1634	165
454	1637	161
455	1640	158
456	1642	154
457	1645	150
458	1648	147
459	1652	143
460	1656	140
461	1659	136
462	1662	132
463	1665	129
464	1669	125
465	1672	122
466	1675	118
467	1677	114
468	1679	110
469	1681	107
470	1684	103
471	1687	100
472	1690	96
473	1692	92
474	1694	89
475	1696	85
476	1699	81
477	1702	78
478	1705	74
479	1707	71
480	1709	67
481	1711	63
482	1714	60
483	1718	56
484	1721	53
485	1723	49
486	1725	46
487	1727	42
488	1730	38
489	1733	35
490	1736	31
491	1738	28
492	1740	24
493	1742	21
494	1744	17
495	1747	14
496	1750	10
497	1752	7
498	1755	3
499	1757	0
